Name;Identity;Birth place;Publisher;Height;Weight;Gender;First appearance;Eye color;Hair color;Strength;Intelligence
A-Bomb;Richard Milhouse Jones;Scarsdale, Arizona;Marvel Comics;203.21000000000001;441.94999999999999;M;2008;Yellow;No Hair;100;moderate
Abraxas;Abraxas;Within Eternity ;Marvel Comics;;;M;;Blue;Black;100;high
Abomination;Emil Blonsky;Zagreb, Yugoslavia;Marvel Comics;203.03999999999999;441.98000000000002;M;;Green;No Hair;80;good
Adam Monroe;;;NBC - Heroes;;;M;;Blue;Blond;10;good
Agent 13;Sharon Carter;;Marvel Comics;173.41;61.030000000000001;F;;Blue;Blond;;
Air-Walker;Gabriel Lan;Xandar, a planet in the Tranta system, Andromeda galaxy;Marvel Comics;188.59;108.23;M;;Blue;White;85;average
Agent Bob;Bob;;Marvel Comics;178.25;81.450000000000003;M;2007;Brown;Brown;10;low
Abe Sapien;Abraham Sapien;;Dark Horse Comics;191.24000000000001;65.349999999999994;M;1993;Blue;No Hair;30;high
Abin Sur;;Ungara;DC Comics;185.52000000000001;90.900000000000006;M;1959;Blue;No Hair;90;average
Angela;;;Image Comics;;;F;;;;100;high
Animal Man;Bernhard Baker;;DC Comics;183.80000000000001;83.390000000000001;M;1965;Blue;Blond;50;average
Agent Zero;Christoph Nord;Unrevealed location in former East Germany ;Marvel Comics;191.28999999999999;104.17;M;;;;30;good
Colin Wagner;;;HarperCollins;;;M;;Grey;Brown;;
Angel Dust;Christina;;Marvel Comics;165.78;57.210000000000001;F;;Yellow;Black;55;moderate
Angel Salvadore;Angel Salvadore Bohusk;;Marvel Comics;163.56999999999999;54.670000000000002;F;2001;Brown;Black;10;moderate
Zoom;Hunter Zolomon;;DC Comics;185.90000000000001;81.930000000000007;M;;Red;Brown;10;average
Lady Deathstrike;Yuriko Oyama;Osaka, Japan;Marvel Comics;175.84999999999999;58.890000000000001;F;1985;Brown;Black;30;good
Yoda;Yoda;;George Lucas;66.290000000000006;17.010000000000002;M;1980;Brown;White;55;high
Zatanna;Zatanna Zatara;;DC Comics;170.28999999999999;57.770000000000003;F;;Blue;Black;10;high
Yellowjacket II;Rita DeMara;;Marvel Comics;165.58000000000001;52.359999999999999;F;;Blue;Strawberry Blond;10;average
Yellowjacket;Hank Pym;Elmsford, New York;Marvel Comics;183.03;83.709999999999994;M;;Blue;Blond;10;high
Yellow Claw;;Somewhere in mainland China;Marvel Comics;188.40000000000001;95.090000000000003;M;;Blue;No Hair;;
Absorbing Man;Carl Creel;New York City, New York;Marvel Comics;193.36000000000001;122.28;M;1964;Blue;No Hair;80;moderate
X-Man;Nate Grey;American Northeast of Earth-295 ;Marvel Comics;175.81999999999999;61.799999999999997;M;1995;Blue;Brown;55;high
X-23;Laura Kinney;The Facility, location unrevealed ;Marvel Comics;155.61000000000001;50.390000000000001;F;;Green;Black;25;good
Wondra;;;Marvel Comics;;;F;;;;;
Adam Strange;Adam Strange;Chicago, Illinois;DC Comics;185.09999999999999;88.920000000000002;M;1986;Blue;Blond;10;good
Wonder Girl;Cassandra Elizabeth Sandsmark;;DC Comics;165.74000000000001;51.329999999999998;F;1996;Blue;Blond;90;good
Wonder Woman;Diana Prince;Themyscira;DC Comics;183.13;74.739999999999995;F;1941;Blue;Black;100;high
Wolverine;Logan;Alberta, Canada;Marvel Comics;160.69999999999999;135.21000000000001;M;;Blue;Black;35;good
Ymir;Ymir;Niffleheim;Marvel Comics;304.63;;M;;White;No Hair;100;average
Wiz Kid;Takashi Matsuya;Place of birth unknown;Marvel Comics;140.86000000000001;39.640000000000001;;;Brown;Black;;
Wolfsbane;Rahne Sinclair;Somewhere in Ross and Cromarty, Scotland;Marvel Comics;366.33999999999997;473.75999999999999;F;;Green;Auburn;20;moderate
White Queen;Emma Grace Frost;Boston, Massachusetts;Marvel Comics;178.87;65.870000000000005;F;;Blue;Blond;;
White Canary;;;DC Comics;;;F;;Brown;Black;10;good
Wyatt Wingfoot;Wyatt Wingfoot;Keewazi Reservation, Oklahoma;Marvel Comics;196.41999999999999;117.16;M;;Brown;Black;10;low
Weapon XI;Weapon XI;;Marvel Comics;;;M;;;;;
Winter Soldier;Bucky Barnes;;Marvel Comics;175.21000000000001;117.20999999999999;M;2005;Brown;Brown;35;average
Watcher;Uatu;;Marvel Comics;;;M;1963;;;80;high
Wonder Man;Simon Williams;Paterson, New Jersey;Marvel Comics;188.90000000000001;171.56999999999999;M;;Red;Black;100;good
Wasp;Janet Van Dyne;Cresskill, New Jersey;Marvel Comics;163.86000000000001;50.039999999999999;F;;Blue;Auburn;20;good
Warlock;Adam Warlock;The Beehive, Shard Island, Atlantic Ocean;Marvel Comics;188.22;108.14;M;;Red;Blond;40;high
Warbird;Carol Danvers;Boston, Massachusetts;Marvel Comics;180.56;54.75;F;;Blue;Blond;;
Wildfire;Drake Burroughs;;DC Comics;;;M;;;;35;average
Vulture;Adrian Toomes;Staten Island, New York City ;Marvel Comics;180.61000000000001;79.629999999999995;M;;Brown;No Hair;25;good
Warp;Emil LaSalle;;DC Comics;173.41999999999999;67.420000000000002;M;1981;Brown;Black;10;moderate
Warpath;James Proudstar;Camp Verde, Arizona ;Marvel Comics;218.05000000000001;158.22;M;1984;Brown;Black;75;moderate
War Machine;James Rupert Rhodes;Philadelphia, Pennsylvania ;Marvel Comics;185.00999999999999;95.930000000000007;M;1979;Brown;Brown;80;good
Vulcan;Gabriel Summers;;Marvel Comics;;;M;;Black;Black;;
Vision II;Vision;Place of birth unknown;Marvel Comics;191.38999999999999;135.50999999999999;;;Red;No Hair;;
Walrus;Hubert Carpent;Brooklyn, New York;Marvel Comics;183.69999999999999;162.03;M;1984;Blue;Black;30;average
Vision;Vision;;Marvel Comics;191.50999999999999;135.94999999999999;M;;Gold;No Hair;75;high
Violet Parr;Violet Parr;;Dark Horse Comics;137.18000000000001;41.130000000000003;F;2004;Violet;Black;10;average
Violator;;;Image Comics;;;M;;;;65;average
Vertigo II;;The Savage Land;Marvel Comics;168.94;52.799999999999997;F;;Blue;Silver;;
Venompool;Wade Wilson;;Marvel Comics;226.84;;M;2011;;;60;good
Venom III;MacDonald Gargan;;Marvel Comics;229.38999999999999;334.69999999999999;M;2005;Brown;Brown;75;good
Vindicator;Dr. James McDonald Hudson;;Marvel Comics;;;M;;;;;
Venom II;Angelo Fortunato;;Marvel Comics;175.06999999999999;50.759999999999998;M;2005;Brown;Black;60;average
Venom;Eddie Brock;New York, New York;Marvel Comics;191.34999999999999;117.61;M;;Blue;Strawberry Blond;60;good
Vegeta;Vegeta;;Shueisha;168.94;73.239999999999995;M;;;Black;100;high
Vixen;Mari McCabe;Zambesi;DC Comics;175.71000000000001;63.57;F;1981;Amber;Black;40;average
Valkyrie;Brunnhilde (also spelled Brunnhilda);Presumably Asgard;Marvel Comics;191.63;214.66999999999999;F;;Blue;Blond;95;high
Valerie Hart;;East Coast, Canada;Team Epic TV;175.80000000000001;56.670000000000002;F;;Hazel;Black;;
Vanisher;;Boston, Massachusetts ;Marvel Comics;165.83000000000001;79.450000000000003;M;;Green;No Hair;10;good
Vagabond;Priscilla Lyons;;Marvel Comics;169.0;54.619999999999997;F;;Blue;Strawberry Blond;;
Utgard-Loki;;Jotunheim;Marvel Comics;15.34;58.859999999999999;M;;Blue;White;80;average
Ultron;Ultron;Created in Cresskill, New Jersey;Marvel Comics;206.90000000000001;331.61000000000001;M;1968;Red;;85;high
Triton;Triton;Island of Attilan, Atlantic Ocean;Marvel Comics;188.34999999999999;86.829999999999998;M;1965;Green;No Hair;65;average
Two-Face;Harvey Dent;;DC Comics;183.12;82.870000000000005;M;;;;10;high
Triplicate Girl;Luornu Durgo;;DC Comics;168.97;59.829999999999998;F;;Purple;Brown;10;good
Trigon;;;DC Comics;;;M;1981;Yellow;Black;100;high
Ultragirl;Tsu-Zana;;Marvel Comics;168.27000000000001;105.90000000000001;F;;Blue;Blond;80;average
Tracy Strauss;Tracy Strauss;Beverly Hills, CA;NBC - Heroes;;;F;;;;;
Vindicator;Heather Hudson;Calgary, Alberta, Canada ;Marvel Comics;165.53999999999999;54.460000000000001;F;1980;Green;Red;65;good
Toxin;Eddie Brock;San Francisco, California;Marvel Comics;191.56999999999999;117.09;M;;Black;Blond;80;good
Titan;;;HarperCollins;;;M;;;;;
Tinkerer;Phineas Mason;;Marvel Comics;163.96000000000001;54.93;M;1963;Brown;White;10;high
Tigra;Greer Grant Nelson;Presumably Chicago Illinois USA;Marvel Comics;178.03999999999999;81.120000000000005;F;;Green;Auburn;35;good
Vibe;Cisco Ramon;;DC Comics;178.77000000000001;71.319999999999993;M;;Brown;Black;10;average
Thundra;Thundra;;Marvel Comics;218.65000000000001;158.88999999999999;F;1972;Green;Red;85;moderate
Thunderstrike;Eric Kevin Masterson;;Marvel Comics;198.41999999999999;288.86000000000001;M;;Blue;Blond;80;good
Toxin;Patrick Mulligan;New York City ;Marvel Comics;188.69;97.560000000000002;M;2004;Blue;Brown;75;average
Thunderbird II;James Proudstar;;Marvel Comics;;;M;;;;;
Thunderbird;John Proudstar;Camp Verde, Arizona ;Marvel Comics;185.12;101.48999999999999;M;1975;Brown;Black;35;average
Thor Girl;Tarene;;Marvel Comics;175.74000000000001;143.16999999999999;F;;Blue;Blond;85;good
Trickster;Giovanni Giuseppe;;DC Comics;183.53999999999999;81.370000000000005;M;1960;Blue;Blond;;
Thing;Ben Grimm;New York City, New York;Marvel Comics;183.55000000000001;225.41999999999999;M;1961;Blue;No Hair;85;good
The Comedian;Edward Morgen Blake;;DC Comics;188.41;101.45;M;1986;Brown;Black;15;good
The Cape;Vince Faraday;;;;;M;2011;;;10;moderate
Thanos;Thanos;Titan;Marvel Comics;201.25999999999999;443.19;M;;Red;No Hair;100;high
Tiger Shark;Todd Arliss;Pasadena, California;Marvel Comics;185.25;203.03;M;1968;Grey;No Hair;75;moderate
Thunderbird III;Neal Shaara;Bangladesh;Marvel Comics;175.86000000000001;74.280000000000001;M;;Brown;Black;;
Taskmaster;Tony Masters;;Marvel Comics;188.74000000000001;99.900000000000006;M;;Brown;Brown;15;good
Toad;Mortimer Toynbee;York, England ;Marvel Comics;175.31999999999999;76.040000000000006;M;1964;Black;Brown;35;average
T-X;Cyberdyne Systems Series X Terminator;;Dark Horse Comics;;149.33000000000001;F;;;;65;good
T-1000;Cyberdyne Systems Series 1000 Terminator;;Dark Horse Comics;183.33000000000001;146.83000000000001;M;;;;35;good
T-800;Cyberdyne Systems Series 800 Terminator Model 101;;Dark Horse Comics;;176.28;M;1984;Red;;35;good
T-850;Cyberdyne Systems Series 850 Terminator;;Dark Horse Comics;;198.72;M;2003;Red;;80;good
Synch;Everett Thomas;;Marvel Comics;180.68000000000001;74.0;M;1994;Brown;Black;70;good
Swarm;Fritz von Meyer;;Marvel Comics;196.71000000000001;47.109999999999999;M;1977;Yellow;No Hair;20;good
Thor;Thor Odinson;Asgard;Marvel Comics;198.34999999999999;288.61000000000001;M;1962;Blue;Blond;100;good
Swamp Thing;Alec Holland;;DC Comics;;;M;1972;Red;No Hair;95;high
Supergirl;Kara Zor-El;Argo City, Krypton;DC Comics;165.40000000000001;54.799999999999997;F;2004;Blue;Blond;100;high
Superboy-Prime;Kal-El;Krypton (Earth-Prime) ;DC Comics;180.55000000000001;77.409999999999997;M;1985;Blue;Black / Blue;100;high
Sylar;Gabriel Gray;;NBC - Heroes;;;M;;;;10;good
Tempest;Angel Salvadore Bohusk;;Marvel Comics;163.02000000000001;54.359999999999999;F;2001;Brown;Black;10;moderate
Stormtrooper;;;George Lucas;183.27000000000001;;M;1977;;;10;low
Sunspot;Roberto DaCosta;Rio de Janeiro, Brazil ;Marvel Comics;173.58000000000001;77.689999999999998;M;1982;brown;black;65;good
Storm;Ororo Munroe;New York, New York;Marvel Comics;180.72;57.5;F;1975;Blue;White;10;good
Stephanie Powell;Stephanie Powell;;ABC Studios;;;F;2010;;Blond;10;good
Superman;Clark Kent;Krypton;DC Comics;191.72999999999999;101.73;M;;Blue;Black;100;high
Stardust;;;Marvel Comics;;;M;;;;85;high
Steppenwolf;;;DC Comics;183.36000000000001;91.040000000000006;M;;Red;Black;100;high
Starfire;Koriand'r;Tamaran;DC Comics;193.77000000000001;71.780000000000001;F;1980;Green;Auburn;80;average
Superboy;Kon-El / Conner Kent;Project Cadmus cloning facility;DC Comics;170.61000000000001;68.909999999999997;M;1993;Blue;Black;95;good
Steel;John Irons;Washington, D.C.;DC Comics;201.58000000000001;131.13;M;1993;Brown;No Hair;85;high
Stargirl;Courtney Whitmore;;DC Comics;165.81;62.939999999999998;F;1999;Blue;Blond;80;good
Static;Virgil Hawkins;Paris Island, Dakota City;DC Comics;170.36000000000001;63.409999999999997;M;1993;Brown;Black;10;good
Star-Lord;Peter Jason Quill;;Marvel Comics;188.25;79.209999999999994;M;1976;Blue;Blond;20;good
Stacy X;;;Marvel Comics;;;F;;;;;
Spock;S'chn T'gai Spock;;Star Trek;185.69;81.099999999999994;M;;Brown;Black;20;high
Spider-Woman III;Martha Franklin;Rochester, New York ;Marvel Comics;173.47;55.369999999999997;F;1998;Brown;Brown;50;average
Spyke;Evan Daniels;;Marvel Comics;183.00999999999999;83.370000000000005;M;2000;Brown;Blond;15;average
Spider-Man;Miles Morales;;Marvel Comics;157.37;56.060000000000002;M;2011;Brown;Black;;
Spider-Woman IV;Charlotte Witter;;Marvel Comics;178.09;58.780000000000001;F;;Red;White;;
Spider-Woman II;;;Marvel Comics;;;F;;;;;
Spider-Woman;Jessica Drew;London, England;Marvel Comics;178.02000000000001;59.100000000000001;F;1977;Green;Black;45;average
Spider-Man;Miguel O'Hara;;Marvel Comics;178.66999999999999;77.269999999999996;;1992;Red;Brown;;
Spider-Man;Peter Parker;New York, New York;Marvel Comics;178.28;74.25;M;;Hazel;Brown;55;high
Spider-Girl;May 'Mayday' Parker;New York City, New York;Marvel Comics;170.97999999999999;54.75;F;1998;Blue;Brown;40;good
Spider-Gwen;Gwen Stacy;;Marvel Comics;165.78999999999999;56.590000000000003;F;;Blue;Blond;55;good
Speedball;Robert Baldwin;Springdale, Connecticut;Marvel Comics;;;M;;;;;
Spider-Carnage;Benjamin Reilly;;Marvel Comics;;;M;;;;;
Speedy;Thea Queen;Starling City;DC Comics;;;F;;Green;Brown;10;average
Speedy;Roy William Harper, Jr.;;DC Comics;;;M;;;;;
Spawn;Al Simmons;Detroit, Michigan (8th level of Hell after rebirth);Image Comics;211.5;405.58999999999997;M;1992;Brown;Black;60;good
Space Ghost;Thaddeus Bach;;DC Comics;188.86000000000001;113.78;M;1966;;;20;moderate
Spectre;Aztar;;DC Comics;;;M;1940;White;No Hair;100;high
Songbird;Melissa Joan Gold;Shoshoni, Wyoming ;Marvel Comics;166.0;65.25;F;;Green;Red / White;40;good
Snowbird;Narya;Near Resolute Bay, Northwest Territories, Canada ;Marvel Comics;178.86000000000001;49.789999999999999;F;;White;Blond;35;average
Siryn;Theresa Rourke Cassidy;Cassidy Keep, County Mayo, Ireland ;Marvel Comics;168.84999999999999;52.640000000000001;F;;Blue;Strawberry Blond;10;moderate
Solomon Grundy;Cyrus Gold;Gotham City;DC Comics;279.22000000000003;437.61000000000001;M;1944;Black;White;95;low
Sobek;Yurrd the Unknown;"Nile River; Bioengineered at Oolong Island";DC Comics;;;M;;White;No Hair;35;average
Snake-Eyes;;;Marvel Comics;;;M;;;;;
Siren;Hila;;DC Comics;175.46000000000001;72.75;F;1965;Blue;Purple;65;average
Simon Baz;Simoon Baz;Dearborn, Michigan;DC Comics;;;M;2012;Bown;Black;90;average
Siren II;La Sirene la Bailene;Atlantis;DC Comics;;;F;1999;Black;;;
Silver Surfer;Norrin Radd;Zenn-La;Marvel Comics;193.00999999999999;101.34;M;;White;No Hair;100;average
Silk Spectre II;Laurie Juspeczyk;;DC Comics;;;F;;;;55;high
Silk Spectre;Sally Juspeczyk;;DC Comics;;;F;;;;;
Skaar;;Sakaar;Marvel Comics;198.46000000000001;180.69;M;;Green;Black;85;average
Silverclaw;Maria de Guadalupe Santiago;The village of Kamekeri, Costa Verde ;Marvel Comics;157.80000000000001;50.219999999999999;F;1998;Brown;Black;30;average
Shrinking Violet;;;DC Comics;;;F;;;;;
Sif;Sif;;Marvel Comics;188.80000000000001;191.83000000000001;F;1964;Blue;Black;90;good
Shriek;Frances Louise Barrison;;Marvel Comics;173.94999999999999;52.829999999999998;F;;Yellow / Blue;Black;10;average
Sinestro;Thaal Sinestro;Korugar City, Korugar;DC Comics;201.13999999999999;92.640000000000001;M;;Black;Black;85;good
Shazam;Billy Batson;Fawcett City, United States;DC Comics;193.74000000000001;101.3;M;1940;Blue;Black;100;high
Shatterstar;Gaveedra Seven;Mojoworld;Marvel Comics;191.56999999999999;88.930000000000007;M;;Brown;Red;50;good
She-Thing;Sharon Ventura;;Marvel Comics;183.88999999999999;153.41;F;;Blue;No Hair;75;good
Shadowcat;Kitty Pryde;Deerfield, Illinois;Marvel Comics;168.63;50.399999999999999;F;1980;Hazel;Brown;10;high
Shang-Chi;Shang-Chi;;Marvel Comics;178.38;79.290000000000006;M;1973;Brown;Black;15;good
Shadow King;Amahl Farouk;;Marvel Comics;185.47999999999999;149.19;;1979;Red;;15;good
Shadow Lass;Tasmia Mallor;Talok VIII;DC Comics;173.11000000000001;54.25;F;;Black;Black;10;good
Sebastian Shaw;Sebastian Hiram Shaw;;Marvel Comics;;;M;;;;85;good
Silk;Cindy Moon;;Marvel Comics;;;F;;Brown;Black;50;good
Shocker;Herman Schultz;;Marvel Comics;175.62;79.400000000000006;M;;Brown;Brown;10;good
Scorpia;Elaine Coll;;Marvel Comics;;;F;1995;Green;Red;30;moderate
Scorpion;MacDonald Gargan;;Marvel Comics;211.06;310.20999999999998;M;1964;Brown;Brown;55;average
Scarlet Witch;Wanda Maximoff;Wundagore Mountain, Transia;Marvel Comics;170.18000000000001;59.689999999999998;F;1964;Blue;Brown;10;high
Scarlet Spider II;Kaine Parker;;Marvel Comics;193.21000000000001;113.66;M;1994;Brown;Brown;55;high
Scarlet Spider;Benjamin Reilly;Place of birth unknown;Marvel Comics;178.78999999999999;74.969999999999999;M;;Blue;Blond;55;good
Sentry;Robert Reynolds;;Marvel Comics;188.84;87.950000000000003;M;2000;Blue;Blond;100;good
Savage Dragon;Kurr;;Image Comics;;;M;;;;70;good
Sandman;William Baker;Queens, New York;Marvel Comics;185.37;203.28999999999999;M;1963;Brown;Brown;75;average
Sasquatch;Walter Langkowski;Edmonton, Alberta, Canada ;Marvel Comics;305.01999999999998;900.70000000000005;M;;Red;Orange;80;good
Sage;Tessa;Place of birth unknown;Marvel Comics;170.27000000000001;61.509999999999998;F;;Blue;Black;10;good
Scarecrow;Jonathan Crane;;DC Comics;183.09;63.950000000000003;M;1941;Blue;Brown;10;high
Sabretooth;Victor Creed;;Marvel Comics;198.44;171.74000000000001;M;1977;Amber;Blond;50;average
Ronin;Clint Barton;Waverly, Iowa ;Marvel Comics;191.05000000000001;104.16;M;;Blue;Blond;15;average
Rorschach;Walter Joseph Kovacs;;DC Comics;168.59999999999999;63.060000000000002;M;1986;Blue;Red;10;good
Rocket Raccoon;Rocket Raccoon;;Marvel Comics;122.77;25.73;M;1976;Brown;Brown;5;average
Rogue;Anna Marie;Caldecott County, Mississippi ;Marvel Comics;173.47999999999999;54.43;F;1981;Green;Brown / White;10;good
Robin VI;Carrie Kelley;Gotham City;DC Comics;;;F;;Green;Red;10;average
Robin V;Damian Wayne;;DC Comics;137.24000000000001;38.460000000000001;M;;Blue;Black;10;good
She-Hulk;Jennifer Walters;Los Angeles, California;Marvel Comics;201.68000000000001;315.25999999999999;F;;Green;Green;100;high
Ripcord;Miranda Leevald;;Marvel Comics;180.86000000000001;72.569999999999993;F;;Green;Black;;
Robin III;Tim Drake;;DC Comics;165.94;56.030000000000001;M;1989;Blue;Black;15;high
Robin II;Jason Todd;;DC Comics;183.41;101.63;M;;Blue;Red;15;good
Rick Flag;Richard Rogers Flag;;DC Comics;185.78;85.909999999999997;M;1959;Blue;Brown;15;high
Rip Hunter;Richard Hunter;;DC Comics;;;M;;Blue;Blond;10;high
Rhino;Aleksei Mikhailovich Sytsevich;;Marvel Comics;196.94;320.95999999999998;M;;Brown;Brown;80;moderate
Riddler;Edward Nigma;;DC Comics;;;M;1948;;;10;high
Redeemer III;Eddie Frank;;Image Comics;;;M;;;;;
Redeemer II;Phil Timper;;Image Comics;;;M;;;;;
Red Tornado;John Smith;;DC Comics;185.94999999999999;146.22;M;;Green;No Hair;40;good
Rey;;Jakku;George Lucas;297.12;;F;2015;Hazel;Brown;10;good
Robin;Dick Grayson;;DC Comics;178.21000000000001;79.489999999999995;M;1940;Blue;Black;15;high
Red Robin;Tim Drake;Gotham City;DC Comics;165.38999999999999;56.350000000000001;M;1989;Blue;Black;15;high
Renata Soliz;;;HarperCollins;;;F;;;;;
Sauron;Sauron;;J. R. R. Tolkien;279.89999999999998;;M;;;;85;high
Red Hood;Jason Todd;;DC Comics;183.80000000000001;81.150000000000006;M;;Blue;Black;15;good
Red Hulk;Thaddeus E. Ross;;Marvel Comics;213.97999999999999;630.09000000000003;M;2008;Yellow;Black;100;average
Red Mist;Chris Genovese;;Icon Comics;;;M;;;;10;moderate
Red Arrow;Roy Harper;;DC Comics;180.49000000000001;83.579999999999998;M;2007;Green;Red;20;good
Ray;Ray Terrill;;DC Comics;178.38999999999999;70.959999999999994;M;;Green;Red;10;average
Raven;Rachel Roth;Azarath;DC Comics;165.00999999999999;50.409999999999997;F;1980;Indigo;Black;10;average
Rambo;John Rambo;Bowie, Arizona;;178.94999999999999;83.730000000000004;M;1972;Brown;Black;15;good
Razor-Fist II;Douglas Scott;;Marvel Comics;191.11000000000001;117.56999999999999;M;1981;Blue;No Hair;;
Rachel Pirzad;;;SyFy;;;F;;;;5;good
Red Skull;Johann Shmidt;An unidentified village in Germany;Marvel Comics;188.31999999999999;108.08;M;1965;Blue;No Hair;10;good
Quill;Maxwell Jordan;;Marvel Comics;163.63;56.109999999999999;M;;Brown;Brown;10;moderate
Quantum;;;HarperCollins;;;M;;;;;
Quicksilver;Pietro Django Maximoff;Wundagore Mountain, Transia (in Eastern Europe);Marvel Comics;183.47999999999999;79.359999999999999;M;;Blue;Silver;30;good
Pyro;St. John Allerdyce;Sydney, Australia ;Marvel Comics;178.72;68.480000000000004;M;;Blue;Blond;10;moderate
Q;Q;;Star Trek;;;M;;;;15;high
Question;Charles Victor Szasz;;DC Comics;188.41;83.260000000000005;M;1967;Blue;Blond;15;high
Punisher;Frank Castle;Queens, New York;Marvel Comics;183.25999999999999;90.900000000000006;M;;Blue;Black;20;good
Ra's Al Ghul;Ra's Al Ghul;Egypt;DC Comics;193.06;97.760000000000005;M;1971;Green;Grey;30;high
Purple Man;Zebediah Killgrave;;Marvel Comics;180.30000000000001;74.129999999999995;M;1964;Purple;Purple;10;average
Psylocke;Elizabeth Braddock;Braddock Manor, England;Marvel Comics;180.88;70.959999999999994;F;1986;Blue;Purple;35;good
Professor X;Charles Francis Xavier;New York, New York;Marvel Comics;183.74000000000001;86.890000000000001;M;1963;Blue;No Hair;10;high
Proto-Goblin;Nels Van Adder;;Marvel Comics;;;M;1990;Green;Blond;40;good
Predator;Yautja;Yautja Prime;Dark Horse Comics;213.59;234.19;M;1987;;;30;good
Power Man;Luke Cage;;Marvel Comics;;;M;;;;;
Polaris;Lorna Dane;Presumably northern California - not confirmed;Marvel Comics;170.90000000000001;52.890000000000001;F;1968;Green;Green;75;good
Poison Ivy;Pamela Isley;Seattle, Washington;DC Comics;168.13999999999999;50.939999999999998;F;;Green;Red;15;high
Power Girl;Kara Zor-L;;DC Comics;180.59;81.640000000000001;F;1976;blue;blond;100;high
Plastique;Bette Sans Souci;;DC Comics;168.96000000000001;55.759999999999998;F;;Blue;Red;10;average
Plastic Man;Patrick O'Brian;;DC Comics;185.71000000000001;80.280000000000001;M;1941;Blue;Black;65;average
Professor Zoom;Eobard Thawne;;DC Comics;180.78999999999999;81.799999999999997;M;1963;Blue;Strawberry Blond;10;high
Plantman;Samuel Smithers;London, England;Marvel Comics;183.53999999999999;87.620000000000005;M;1963;Green;Grey;60;good
Phantom Stranger;Judas Iscariot;;DC Comics;188.22;83.840000000000003;M;;Black;Black;10;high
Raphael;;;IDW Publishing;;;M;;;No Hair;20;good
Phantom Girl;Tinya Wazzo;;DC Comics;168.58000000000001;54.990000000000002;F;2004;Blue;Black;10;moderate
Peter Petrelli;Peter Petrelli;;NBC - Heroes;;;M;;;;30;good
Phantom;Christopher Walker;;DC Comics;;;M;;;;50;good
